,ApplicationID,LoanAmount,CreditScore,EmploymentStatus,ApprovalYield
65,66,Low,Fair,Unemployed,0.09310276780589921
66,67,Low,Poor,Self-Employed,0.18870710834137938
67,68,Low,Good,Self-Employed,0.7259556788702394
68,69,High,Excellent,Employed,0.7798755458576239
69,70,High,Poor,Employed,0.6689882547142286
70,71,Medium,Good,Employed,0.9401334424577784
71,72,Low,Poor,Employed,0.16080805141749865
72,73,Medium,Fair,Employed,0.44842414298624733
73,74,Low,Poor,Unemployed,0.018075363615520867
74,75,Medium,Poor,Self-Employed,0.7209399242521293
75,76,Low,Excellent,Self-Employed,0.3677158030594335
76,77,High,Fair,Employed,0.5898708475605439
77,78,Medium,Poor,Self-Employed,0.8920465551771133
78,79,High,Good,Employed,0.3500784076946757
79,80,Low,Excellent,Self-Employed,0.4925176938188639
80,81,Low,Excellent,Unemployed,0.4991933798847523
81,82,High,Excellent,Unemployed,0.04360377175443375
82,83,Medium,Poor,Employed,0.9148643902204485
83,84,High,Excellent,Unemployed,0.9530718470239532
84,85,Low,Poor,Employed,0.9666548190436696
85,86,High,Excellent,Unemployed,0.07534625600612821
86,87,Low,Poor,Self-Employed,0.2684748568901568
87,88,High,Excellent,Employed,0.5568012624583502
88,89,High,Fair,Employed,0.9300168348108319
89,90,Medium,Excellent,Employed,0.6150072266991697
90,91,Medium,Good,Employed,0.25416364906973876
91,92,Medium,Fair,Employed,0.7407686177542044
92,93,Low,Poor,Self-Employed,0.7089109969101186
93,94,High,Poor,Employed,0.8093611554785136
94,95,High,Fair,Unemployed,0.6115137108656805
95,96,Medium,Good,Unemployed,0.6278944149486361
96,97,Low,Excellent,Employed,0.795792669436101
97,98,High,Good,Self-Employed,0.375582952639944
98,99,Medium,Excellent,Self-Employed,0.6720261352951994
99,100,High,Poor,Employed,0.5426446347075766
100,101,Low,Fair,Employed,0.8604046183116753
101,102,Low,Excellent,Employed,0.8226005606596583
102,103,Medium,Good,Unemployed,0.5222432600548044
103,104,Low,Excellent,Unemployed,0.45726516161372854
104,105,Medium,Poor,Employed,0.5406351216101065
105,106,High,Excellent,Unemployed,0.969536867114159
106,107,Medium,Fair,Self-Employed,0.7951861947687037
107,108,High,Good,Employed,0.07845638134226596
108,109,Low,Fair,Unemployed,0.08087296661719767
109,110,High,Poor,Unemployed,0.05819359550844361
110,111,Medium,Poor,Self-Employed,0.25024289816459533
111,112,Medium,Fair,Unemployed,0.6601973767177313
112,113,Low,Poor,Unemployed,0.7378969166957685
113,114,High,Poor,Employed,0.7300393165618185
114,115,High,Excellent,Employed,0.3559726786512616
115,116,Low,Fair,Unemployed,0.3418796667164016
116,117,Low,Good,Unemployed,0.3114133093912942
117,118,Medium,Excellent,Unemployed,0.4741738290873252
118,119,Medium,Fair,Unemployed,0.4734717707805657
119,120,Low,Fair,Employed,0.6497736826427634
120,121,Medium,Fair,Employed,0.6350936508676438
121,122,Medium,Excellent,Self-Employed,0.01530454029038475
122,123,High,Fair,Unemployed,0.5393774484000625
123,124,Low,Excellent,Self-Employed,0.9442515971251674
124,125,High,Excellent,Employed,0.5733670416719333
125,126,Low,Poor,Unemployed,0.5456167893159349
126,127,Low,Excellent,Self-Employed,0.8204268437712681
127,128,Medium,Good,Unemployed,0.06936130087516545
128,129,High,Fair,Employed,0.03896313231023363
129,130,Medium,Good,Self-Employed,0.07118864846022899
130,131,Low,Fair,Employed,0.023271935735825866
131,132,Medium,Good,Unemployed,0.4960374542934062
132,133,Medium,Poor,Employed,0.628942846779884
133,134,Low,Excellent,Unemployed,0.8034809303848486
134,135,Low,Excellent,Employed,0.42347094230811855
135,136,High,Poor,Self-Employed,0.4126176769114265
136,137,Medium,Poor,Self-Employed,0.5805440123439098
137,138,High,Fair,Unemployed,0.23859685979034018
138,139,High,Poor,Self-Employed,0.7545428740846823
139,140,Low,Fair,Unemployed,0.5343274735305634
140,141,Low,Fair,Unemployed,0.8955232284962005
141,142,Low,Excellent,Unemployed,0.9053819764192637
142,143,Low,Good,Employed,0.6767699044243033
143,144,High,Fair,Self-Employed,0.08328441119525964
144,145,Low,Good,Unemployed,0.5537030523458008
145,146,Low,Excellent,Unemployed,0.7915790437258485
146,147,Low,Good,Unemployed,0.9309291056872926
147,148,Medium,Good,Employed,0.5495288823237355
148,149,Low,Good,Self-Employed,0.5459157701649889
149,150,High,Fair,Self-Employed,0.14299168205283586
150,151,Medium,Fair,Unemployed,0.10112267612279024
151,152,High,Fair,Unemployed,0.22257641757103053
152,153,Low,Fair,Self-Employed,0.7062422271564962
153,154,Low,Poor,Unemployed,0.2332280724245278
154,155,Low,Poor,Employed,0.8127995672575026
155,156,High,Good,Unemployed,0.5918887388212843
156,157,Medium,Excellent,Self-Employed,0.48166698796411533
157,158,Medium,Good,Self-Employed,0.24872415443028795
158,159,High,Good,Employed,0.49262510429085915
159,160,Low,Fair,Employed,0.05630327568183735
160,161,Low,Good,Unemployed,0.7442116569432979
161,162,High,Poor,Employed,0.40022289287202484
162,163,Low,Poor,Unemployed,0.22359583851945264
163,164,Medium,Fair,Unemployed,0.969878826707639
164,165,Low,Good,Unemployed,0.04340078329817276
165,166,Low,Good,Unemployed,0.2529901679892411
166,167,High,Excellent,Unemployed,0.5230978441701488
167,168,Low,Poor,Employed,0.29449394683942987
168,169,Low,Poor,Employed,0.5843143119231002
169,170,High,Poor,Self-Employed,0.2809631895922303
170,171,Medium,Excellent,Unemployed,0.2773811829811327
171,172,Medium,Excellent,Employed,0.22939474570494967
172,173,Low,Poor,Self-Employed,0.6981617140197451
173,174,Low,Poor,Unemployed,0.41120672087218624
174,175,Low,Excellent,Unemployed,0.1331851252237497
175,176,High,Poor,Employed,0.949799913291924
176,177,Low,Good,Unemployed,0.4182430362906189
177,178,Medium,Fair,Self-Employed,0.04521867010618941
178,179,High,Excellent,Unemployed,0.7776022837352256
179,180,Medium,Excellent,Self-Employed,0.15041689110352818
180,181,Low,Fair,Self-Employed,0.3929894489788591
181,182,High,Good,Unemployed,0.8383287047111379
182,183,Medium,Poor,Self-Employed,0.1338521188006332
183,184,Low,Excellent,Self-Employed,0.8647223762550532
184,185,Low,Poor,Self-Employed,0.7499107494699718
185,186,High,Poor,Self-Employed,0.7689874151805105
186,187,Low,Fair,Employed,0.37785054927578643
187,188,Low,Fair,Unemployed,0.12915941515149498
188,189,High,Poor,Unemployed,0.20722764900805646
189,190,Low,Poor,Employed,0.3581627180328405
190,191,High,Fair,Employed,0.5203077009037933
191,192,Medium,Good,Self-Employed,0.3077772397710494
192,193,Low,Fair,Unemployed,0.08840822336564658
193,194,High,Poor,Unemployed,0.13401522845064073
194,195,High,Good,Self-Employed,0.7846682639443096
195,196,Medium,Fair,Self-Employed,0.21296416150891073
196,197,Medium,Excellent,Employed,0.350587558806597
197,198,Medium,Fair,Employed,0.5548156085422257
198,199,High,Good,Employed,0.34825546702330035
199,200,Medium,Poor,Self-Employed,0.39654278232127016
200,201,High,Fair,Self-Employed,0.6976418714934634
201,202,Low,Excellent,Employed,0.9265876251614944
202,203,Medium,Poor,Unemployed,0.980032575285477
203,204,Low,Fair,Unemployed,0.20913079107851418
204,205,High,Excellent,Self-Employed,0.07586332810866392
205,206,Low,Good,Self-Employed,0.5847661059491537
206,207,High,Fair,Unemployed,0.8967884099060118
207,208,High,Good,Unemployed,0.9731103492701043
208,209,Low,Fair,Self-Employed,0.04086861626647886
209,210,Low,Fair,Employed,0.17701048427674682
210,211,Low,Fair,Unemployed,0.534423503732523
211,212,Medium,Fair,Employed,0.1287483982996439
212,213,Medium,Poor,Self-Employed,0.039312139841098936
213,214,Low,Good,Unemployed,0.687784717096083
214,215,Medium,Good,Self-Employed,0.3772859652420726
215,216,Low,Fair,Unemployed,0.08451700768068193
216,217,High,Poor,Self-Employed,0.5365906459873325
217,218,Medium,Fair,Employed,0.7599554089375856
218,219,Medium,Excellent,Employed,0.7474709381337565
219,220,Medium,Good,Self-Employed,0.7133495858845524
220,221,High,Good,Employed,0.7496162320085874
221,222,Low,Fair,Employed,0.35414667079312545
222,223,High,Good,Unemployed,0.7374052060938191
223,224,Medium,Good,Unemployed,0.8407099858779311
224,225,Medium,Fair,Employed,0.11976213181925122
225,226,Low,Poor,Unemployed,0.6791023191444896
226,227,High,Poor,Unemployed,0.4795821017542502
227,228,High,Fair,Employed,0.5577422659504374
228,229,Low,Excellent,Self-Employed,0.37877262595128935
229,230,Low,Fair,Employed,0.6075552222935728
230,231,High,Excellent,Self-Employed,0.9865152487929797
231,232,Low,Poor,Unemployed,0.00753436313407474
232,233,Low,Fair,Employed,0.24595772838450813
233,234,Medium,Good,Employed,0.2850951686938471
234,235,High,Excellent,Self-Employed,0.8423140352981816
235,236,High,Good,Self-Employed,0.4103968269896615
236,237,High,Fair,Employed,0.57599841780566
237,238,High,Excellent,Self-Employed,0.8170720709492799
238,239,Low,Fair,Employed,0.668643219924431
239,240,Low,Fair,Self-Employed,0.5350367320449105
240,241,Medium,Good,Unemployed,0.7694929331919369
241,242,Medium,Fair,Employed,0.7109524788367483
242,243,Low,Excellent,Unemployed,0.5298400231811167
243,244,Low,Fair,Employed,0.28863055324025577
244,245,Low,Fair,Self-Employed,0.9320143422569341
245,246,Low,Good,Self-Employed,0.05182353682242691
246,247,Medium,Excellent,Employed,0.5486031179381532
247,248,Medium,Excellent,Employed,0.32235384497472297
248,249,Medium,Excellent,Unemployed,0.13882477344202038
249,250,Low,Poor,Unemployed,0.5956387406078443
250,251,Medium,Good,Self-Employed,0.3488682665429953
251,252,Low,Poor,Employed,0.7459745255487181
252,253,Medium,Fair,Unemployed,0.7308674752036443
253,254,Low,Fair,Self-Employed,0.0664962673667775
254,255,Medium,Excellent,Unemployed,0.1397723766262895
255,256,Low,Poor,Employed,0.7995371309195156
256,257,High,Poor,Unemployed,0.8145747202313821
257,258,High,Fair,Employed,0.907866130462516
258,259,Low,Poor,Employed,0.3924451074226354
259,260,High,Excellent,Employed,0.8996674452921731
260,261,Low,Fair,Unemployed,0.7476093801762511
261,262,High,Poor,Unemployed,0.3553624518183959
262,263,High,Good,Employed,0.5435528611139886
263,264,High,Good,Self-Employed,0.4315281431364426
264,265,High,Good,Self-Employed,0.3349056146570861
265,266,High,Good,Unemployed,0.49542362640396564
266,267,Medium,Good,Self-Employed,0.7885972112245307
267,268,Medium,Poor,Unemployed,0.706980461243459
268,269,High,Good,Unemployed,0.03353243473577938
269,270,Medium,Fair,Employed,0.49398148713086265
270,271,Medium,Poor,Employed,0.8212573046720129
271,272,High,Good,Unemployed,0.12748866233198242
272,273,High,Poor,Unemployed,0.4863574819956078
273,274,Low,Fair,Self-Employed,0.6411476328852973
274,275,High,Excellent,Employed,0.25179905890695276
275,276,Low,Excellent,Self-Employed,0.9590747945640278
276,277,Medium,Fair,Self-Employed,0.4620058036441327
277,278,Medium,Good,Employed,0.5862298320167972
278,279,Medium,Fair,Unemployed,0.2560155318536622
279,280,High,Excellent,Unemployed,0.9224993811772957
280,281,High,Fair,Unemployed,0.5762883601668132
281,282,Medium,Poor,Employed,0.07732106548878726
282,283,Medium,Excellent,Unemployed,0.9255685129067763
283,284,High,Poor,Employed,0.2359060345950812
284,285,Medium,Fair,Employed,0.8374907890024921
285,286,Low,Good,Employed,0.5188380571260721
286,287,High,Poor,Self-Employed,0.05476163882203133
287,288,Low,Fair,Unemployed,0.004632023004602859
288,289,Low,Good,Self-Employed,0.4145045842036277
289,290,Medium,Good,Employed,0.34634599436596125
290,291,Medium,Good,Employed,0.9184547249393011
291,292,High,Good,Self-Employed,0.14085702037979986
292,293,Low,Good,Employed,0.033879160246594986
293,294,Low,Poor,Unemployed,0.5805883502780435
294,295,Medium,Fair,Employed,0.6635373720167106
295,296,High,Poor,Unemployed,0.14866272775311296
296,297,Medium,Fair,Self-Employed,0.9968742518459474
297,298,Low,Good,Unemployed,0.3099369262686109
298,299,Medium,Good,Self-Employed,0.20990559309558576
299,300,High,Fair,Employed,0.19068772066366657
300,301,Low,Poor,Employed,0.8365648132923329
301,302,High,Fair,Unemployed,0.7755276166950106
302,303,High,Fair,Employed,0.5344558912572469
303,304,Low,Fair,Employed,0.5596403313082179
304,305,High,Excellent,Unemployed,0.3343628113104822
305,306,High,Good,Self-Employed,0.37330931627975295
306,307,Medium,Good,Employed,0.5265784666592938
307,308,Low,Good,Self-Employed,0.15615259736619036
308,309,Medium,Good,Unemployed,0.4079844953648447
309,310,Low,Good,Self-Employed,0.2310747965880714
310,311,High,Good,Unemployed,0.5950489797004206
311,312,Low,Good,Unemployed,0.1785446620543336
312,313,Low,Excellent,Self-Employed,0.7208130963105066
313,314,High,Excellent,Employed,0.6031974021769796
314,315,Medium,Good,Unemployed,0.14108184877771357
315,316,Medium,Good,Self-Employed,0.8963358185211198
316,317,High,Fair,Self-Employed,0.7359046131960023
317,318,Low,Good,Unemployed,0.8764440758752938
318,319,Low,Excellent,Employed,0.8926717110769748
319,320,High,Poor,Self-Employed,0.2594234334312925
320,321,Medium,Good,Self-Employed,0.03422811082052912
321,322,Low,Poor,Employed,0.7738345232013403
322,323,Low,Fair,Unemployed,0.29446575954191767
323,324,Medium,Fair,Unemployed,0.8684679758979128
324,325,High,Fair,Self-Employed,0.7998552559473152
325,326,Low,Fair,Self-Employed,0.5124576558819216
326,327,Low,Excellent,Employed,0.6334782198261473
327,328,High,Poor,Employed,0.6450541677693294
328,329,Medium,Excellent,Employed,0.5256901823026858
329,330,Low,Fair,Self-Employed,0.6831838564454814
330,331,Medium,Fair,Unemployed,0.8150544284024571
331,332,Low,Fair,Employed,0.5541780025157934
332,333,Low,Fair,Employed,0.7202025816322958
333,334,Low,Fair,Employed,0.13688563006880727
334,335,Low,Good,Employed,0.7321845784590624
335,336,Medium,Excellent,Unemployed,0.6650366745462555
336,337,High,Fair,Unemployed,0.8381069631782958
337,338,Low,Excellent,Employed,0.5189177052828375
338,339,Medium,Excellent,Employed,0.7380336164263704
339,340,High,Poor,Self-Employed,0.24534910968132095
340,341,Low,Good,Self-Employed,0.35567271646494913
341,342,Low,Good,Self-Employed,0.6104046670079576
342,343,Medium,Fair,Self-Employed,0.6636711653626481
343,344,Medium,Fair,Unemployed,0.48375494193241275
344,345,Medium,Excellent,Self-Employed,0.2622640442998251
345,346,High,Excellent,Self-Employed,0.8464078493145573
346,347,High,Poor,Self-Employed,0.3342438908169608
347,348,Medium,Fair,Unemployed,0.3443837320442332
348,349,Low,Poor,Unemployed,0.704925549688953
349,350,Medium,Poor,Self-Employed,0.07593341036962209
350,351,Medium,Poor,Self-Employed,0.2721451372299627
351,352,Medium,Excellent,Self-Employed,0.3145965568094109
352,353,High,Good,Unemployed,0.1368186309189614
353,354,Medium,Poor,Self-Employed,0.5213006674135694
354,355,Medium,Excellent,Self-Employed,0.7322248864095612
355,356,Low,Poor,Self-Employed,0.7241033292731386
356,357,Medium,Excellent,Unemployed,0.9033638126360249
357,358,High,Good,Employed,0.05159580665871
358,359,Medium,Good,Employed,0.588263756969931
359,360,Low,Good,Employed,0.5679452305526295
360,361,Medium,Good,Employed,0.12052257878646444
361,362,High,Poor,Self-Employed,0.9243961953765304
362,363,Medium,Good,Self-Employed,0.7953418379590974
363,364,High,Fair,Self-Employed,0.4551436850361561
364,365,High,Fair,Self-Employed,0.03700763471549262
365,366,High,Excellent,Self-Employed,0.560677194003514
366,367,Low,Fair,Self-Employed,0.6962887758781398
367,368,Medium,Good,Self-Employed,0.06535634079894237
368,369,High,Excellent,Unemployed,0.5384014903807876
369,370,Medium,Poor,Unemployed,0.6258913764370091
370,371,Low,Fair,Employed,0.41750608402789213
371,372,High,Fair,Employed,0.021269410850387138
372,373,High,Poor,Unemployed,0.38396388991972574
373,374,High,Good,Self-Employed,0.009485433628498074
374,375,Low,Fair,Unemployed,0.40193091360924216
375,376,Low,Excellent,Unemployed,0.5807572072273277
376,377,High,Poor,Employed,0.09169933511143014
377,378,High,Good,Unemployed,0.7322718071846451
378,379,Low,Good,Unemployed,0.35462215764077654
379,380,Medium,Fair,Employed,0.23360775104990994
380,381,Low,Excellent,Unemployed,0.9103391020575343
381,382,High,Poor,Self-Employed,0.3843266471596817
382,383,High,Fair,Unemployed,0.786345014415552
383,384,High,Excellent,Employed,0.9823305150800816
384,385,High,Fair,Self-Employed,0.9037239671752705
385,386,Medium,Poor,Self-Employed,0.9911686261369765
386,387,High,Excellent,Unemployed,0.6496466489923685
387,388,Low,Good,Unemployed,0.12033876203499594
388,389,High,Fair,Unemployed,0.22048620907017535
389,390,Low,Fair,Self-Employed,0.8262056957939659
390,391,Low,Poor,Employed,0.9691026301408113
391,392,Low,Poor,Self-Employed,0.597274072430341
392,393,Low,Poor,Self-Employed,0.39624201890265875
393,394,Medium,Fair,Employed,0.9963357758067243
394,395,High,Excellent,Self-Employed,0.22444057183666066
395,396,Low,Good,Unemployed,0.5929399348417032
396,397,Medium,Poor,Employed,0.4574320977737073
397,398,High,Good,Unemployed,0.8887480798689772
398,399,Low,Fair,Employed,0.8095160747248781
399,400,Low,Poor,Self-Employed,0.08698675991141014
400,401,High,Fair,Self-Employed,0.7234201136885849
401,402,Medium,Fair,Employed,0.9621219725920498
402,403,Low,Excellent,Unemployed,0.9914753351450482
403,404,Medium,Excellent,Unemployed,0.480586577326648
404,405,Low,Good,Employed,0.5713189419195741
405,406,Medium,Excellent,Self-Employed,0.8644928803073485
406,407,Low,Fair,Self-Employed,0.8681608040515469
407,408,Low,Good,Self-Employed,0.1604001053300721
408,409,Low,Good,Unemployed,0.6974714616692836
409,410,Medium,Excellent,Self-Employed,0.6989907380395877
410,411,High,Poor,Self-Employed,0.9613152881849074
411,412,Low,Good,Self-Employed,0.8258167505647627
412,413,Medium,Excellent,Self-Employed,0.22862516152492351
413,414,High,Good,Employed,0.8179670241190622
414,415,Medium,Poor,Unemployed,0.258688330697908
415,416,Medium,Excellent,Unemployed,0.6169269183757422
416,417,Low,Poor,Unemployed,0.11584385678025766
417,418,Medium,Excellent,Unemployed,0.7798453951511436
418,419,Medium,Good,Employed,0.01842771873821747
419,420,Low,Excellent,Employed,0.3418721660386861
420,421,High,Fair,Unemployed,0.10250972799067926
421,422,Medium,Excellent,Self-Employed,0.16637758693227234
422,423,Medium,Poor,Employed,0.4735738884350885
423,424,Medium,Fair,Self-Employed,0.8524146591986477
424,425,Medium,Excellent,Self-Employed,0.9688778552856915
425,426,High,Good,Unemployed,0.3836122604056218
426,427,Low,Good,Unemployed,0.32361021914954125
427,428,High,Excellent,Self-Employed,0.2525087496883822
428,429,High,Fair,Employed,0.2736266662816659
429,430,Low,Excellent,Unemployed,0.10219361969371898
430,431,Low,Good,Self-Employed,0.7948095487499294
431,432,Low,Good,Employed,0.7728227800168045
432,433,Medium,Good,Self-Employed,0.8680543225322929
433,434,Medium,Excellent,Unemployed,0.9436159201675989
434,435,Low,Good,Employed,0.7600940784380972
435,436,Low,Good,Self-Employed,0.409334006315043
436,437,Medium,Good,Employed,0.2131047040250833
437,438,Low,Poor,Employed,0.864358249839637
438,439,High,Excellent,Employed,0.2037012492762742
439,440,Low,Poor,Self-Employed,0.45369363460528267
440,441,Medium,Excellent,Self-Employed,0.6262203216314154
441,442,Low,Excellent,Employed,0.616650314520738
442,443,Medium,Good,Unemployed,0.0012318351664258875
443,444,High,Poor,Employed,0.6855652872289714
444,445,Low,Fair,Unemployed,0.16082546907819006
445,446,Medium,Fair,Unemployed,0.26899340443509767
446,447,High,Excellent,Unemployed,0.14958064266756577
447,448,Low,Fair,Employed,0.3924935564066848
448,449,Medium,Good,Self-Employed,0.7218876279269351
449,450,High,Poor,Unemployed,0.8601223971892046
450,451,Medium,Poor,Self-Employed,0.48050694725782894
451,452,Low,Poor,Unemployed,0.5709045018441643
452,453,High,Excellent,Employed,0.6181557343181191
453,454,Low,Fair,Employed,0.3264613082439919
454,455,Medium,Poor,Unemployed,0.8825334858196
455,456,Medium,Poor,Unemployed,0.07857849715502074
456,457,Medium,Good,Employed,0.9774663863147858
457,458,Medium,Fair,Employed,0.8005866991090829
458,459,Medium,Fair,Self-Employed,0.6703854583544122
459,460,High,Poor,Self-Employed,0.8962213026850383
460,461,Low,Fair,Unemployed,0.05197128365147241
461,462,Low,Fair,Employed,0.6253046602139478
462,463,Medium,Good,Self-Employed,0.4843984475740406
463,464,High,Excellent,Employed,0.8172977699624937
464,465,Medium,Good,Self-Employed,0.040754106092472764
465,466,Medium,Fair,Self-Employed,0.7248265598740583
466,467,High,Excellent,Unemployed,0.4792789285762873
467,468,High,Fair,Self-Employed,0.9758652558191313
468,469,Low,Excellent,Unemployed,0.7896985071424791
469,470,High,Excellent,Self-Employed,0.16167254414680265
470,471,Medium,Fair,Self-Employed,0.22845474133129873
471,472,Low,Good,Self-Employed,0.0815264895524267
472,473,High,Good,Unemployed,0.07219840897917584
473,474,High,Good,Unemployed,0.8404524062769335
474,475,Low,Fair,Unemployed,0.727169069766308
475,476,Low,Excellent,Unemployed,0.3459349925469629
476,477,Medium,Excellent,Employed,0.8670314961224486
477,478,Low,Excellent,Employed,0.7252576604151365
478,479,Medium,Good,Employed,0.7929560946056315
479,480,High,Fair,Self-Employed,0.5923503285933622
480,481,Medium,Poor,Self-Employed,0.6229665835634828
481,482,Low,Good,Unemployed,0.1315676851272598
482,483,Medium,Good,Employed,0.23754332492387764
483,484,Medium,Fair,Self-Employed,0.413031174647697
484,485,Medium,Poor,Unemployed,0.24723107440317704
485,486,Low,Good,Employed,0.5148173539296902
486,487,Low,Excellent,Employed,0.09526150795462629
487,488,Low,Good,Unemployed,0.9694123223352875
488,489,Medium,Good,Unemployed,0.009030404129550251
489,490,Low,Excellent,Unemployed,0.23702785710833618
490,491,High,Good,Employed,0.07349674733001266
491,492,Medium,Excellent,Employed,0.44877757383140304
492,493,Medium,Poor,Unemployed,0.4494338352137377
493,494,High,Excellent,Unemployed,0.25252778207541926
494,495,Medium,Excellent,Unemployed,0.6055381576448828
495,496,High,Poor,Unemployed,0.7817903298450294
496,497,High,Good,Employed,0.20584121003676825
497,498,Low,Excellent,Employed,0.9866929803571616
498,499,Low,Good,Unemployed,0.9366056922949615
499,500,Low,Poor,Self-Employed,0.22470117697268
500,501,Low,Poor,Self-Employed,0.3161561049767505
501,502,Low,Good,Employed,0.6882078658665954
502,503,Low,Fair,Self-Employed,0.004939980934409616
503,504,Medium,Poor,Employed,0.9730977480703464
504,505,High,Good,Self-Employed,0.5217300466362131
505,506,High,Excellent,Employed,0.1396512547563129
506,507,Medium,Poor,Employed,0.20185345212294836
507,508,High,Excellent,Employed,0.18834908376560144
508,509,High,Excellent,Unemployed,0.44375021930457115
509,510,Low,Good,Employed,0.25530652472843185
510,511,Low,Good,Self-Employed,0.9446142194740232
511,512,Medium,Fair,Employed,0.24414729042237426
512,513,Medium,Excellent,Self-Employed,0.5706097466388297
513,514,High,Excellent,Unemployed,0.6895267510315611
514,515,Low,Poor,Self-Employed,0.9408753563380648
515,516,Medium,Poor,Unemployed,0.5771852367117482
516,517,Medium,Excellent,Employed,0.9994137257706666
517,518,Medium,Good,Unemployed,0.8664386675276454
518,519,Low,Excellent,Unemployed,0.7823854840582735
519,520,Low,Good,Unemployed,0.10910963176574973
520,521,Medium,Poor,Employed,0.3270331615632387
521,522,Medium,Good,Employed,0.9013756495884443
522,523,Low,Poor,Self-Employed,0.435583314812933
523,524,High,Poor,Employed,0.5444890979608495
524,525,Low,Poor,Self-Employed,0.6302087483291442
525,526,Medium,Good,Self-Employed,0.6954672066898622
526,527,Low,Poor,Unemployed,0.23754413087432746
527,528,Low,Good,Employed,0.07319592376844364
528,529,High,Excellent,Employed,0.6425759689471896
529,530,Medium,Fair,Unemployed,0.3797857801792298
530,531,Medium,Excellent,Employed,0.47918187762973097
531,532,Low,Poor,Employed,0.10891834184673144
532,533,Low,Fair,Unemployed,0.24606965879799825
533,534,High,Good,Self-Employed,0.8129857387160935
534,535,Medium,Excellent,Self-Employed,0.5212341324853343
535,536,Low,Good,Self-Employed,0.00756287497814212
536,537,High,Poor,Self-Employed,0.24348229657629927
537,538,High,Good,Self-Employed,0.19715412657287734
538,539,Low,Fair,Self-Employed,0.10142082844921652
539,540,Low,Excellent,Unemployed,0.28487290196192283
540,541,High,Poor,Self-Employed,0.5322602133390402
541,542,Medium,Excellent,Employed,0.7161506742231936
542,543,Low,Poor,Employed,0.12188609333694755
